,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar,comment
0,J1342+0928,"Banados et al. (2018), Venemans et al. (2017), Onoue et al. (2020), Novak et al. (2019), Yang et al. (2021)","https://arxiv.org/abs/1712.01860, https://iopscience.iop.org/article/10.3847/2041-8213/aa943a, https://arxiv.org/pdf/2006.16268, https://iopscience.iop.org/article/10.3847/1538-4357/ab2beb, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",ULAS,13:42:08.097,+09:28:38.28,,7.5413,0.0007,0.0007,9.1e8,1.4e8,1.3e8,13.3e46,1.1e46,1.1e46,1.1,0.2,0.2,-26.57,0.04,0.04,,,,,,,150,30,30,,"coordinates from Venemens et al. (2017), mass, Edd, M1450 from Onoue et al. (2020), SFR from Novak et al. (2019)"
1,J1243+0100,"Matsuoka et al. (2019), Izumi et al. (2021)","https://arxiv.org/abs/1901.10487, https://arxiv.org/pdf/2104.05738###",HSC,12:43:53.93,+01:00:38.50,,7.0749,0.001,0.001,3.3e8,2e8,2e8,1.4e46,0.1e46,0.1e46,0.34,0.2,0.2,-24.13,0.08,0.08,,,,220,8,8,742,16,16,,"z, SFR from Izumi et al. (2021)"
2,J1120+0641,"Mortlock et al.(2011), De Rosa et al. (2014), Yang et al. (2021)","https://arxiv.org/abs/1106.6088, https://arxiv.org/pdf/1311.3260, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",ULAS,11:20:01.48,+06:41:24.30,,7.0851,0.0005,0.0005,1.35e9,0.04e9,0.04e9,13.4e46,1.0e46,1.0e46,0.8,0.1,0.1,-26.44,,,,,,,,,,,,,"coordinates from De Rosa et al. (2014), z, M1450, M, L_bol from Yang et al. (2021)"
3,J0038-1527,Wang et al. (2018),https://arxiv.org/abs/1810.11925,DELS,00:38:36.10,-15:27:23.06,,7.021,0.005,0.005,1.33e9,0.25e9,0.25e9,2.16e47,,,1.25,0.19,0.19,-27.10,0.08,0.08,,,,,,,,,,,
4,J0252-0503,"Yang et al. (2019), Wang et al (2020)","https://iopscience.iop.org/article/10.3847/1538-3881/ab1be1/meta, https://arxiv.org/abs/2004.10877",DES,02:52:16.64,-05:03:31.80,,7.02,0.001,0.001,1.39e9,1.6e8,1.6e8,1.3e47,0.1e47,0.1e47,0.7,0.1,0.1,-26.50,0.09,0.09,,,,,,,,,,,"M1450 from Yang et al. (2019), z from Wang et al (2020)"
5,J2356+0017,Matsuoka et al. (2019),https://arxiv.org/abs/1908.07910,HSC,23:56:46.33,+00:17:47.30,,7.01,,,5.5e8,2.06e7,1.99e7,,,,,,,-25.31,0.04,0.04,,,,,,,,,,,
6,J0313−1806,Wang et al. (2021),https://arxiv.org/abs/2101.03179,PS1+DELS+VHS+WISE,03:13:43.84,-18:06:36.40,,7.6423,0.0013,0.0013,1.6e9,0.4e9,0.4e9,1.4e47,0.1e47,0.1e47,0.67,0.14,0.14,-26.13,0.05,0.05,,,,40-240,,,225,25,25,,
7,J1007+2115,Yang et al. (2020),https://arxiv.org/abs/2006.13452,PS1+DELS+UHS+WISE,10:07:58.26,+21:15:29.20,,7.5149,0.0004,0.0004,1.5e9,0.2e9,0.2e9,1.9e47,0.1e47,0.1e47,1.06,0.2,0.2,-26.66,0.07,0.07,,,,80-520,,,700,,,,
8,UHZ1,"Bogdan et al. (2023), Castellano et al. (2023), Goulding et al. (2023)","https://arxiv.org/abs/2305.15458, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2308.02750",JWST,00:14:16.096,-30:22:40.285,,10.073,0.002,0.002,4e7,6e7,3e7,5e45,,,,,,,,,87.7,7.2,7.2,4.5,2.9,2.2,4.5,2.9,2.2,0.4e8,"F444W, SFR, Mstar from Castellano et al. (2023), z from Goulding et al. (2023)"
9,GHZ9,"Kovacs et al. (2024), Castellano et al. (2023), Atek et al. (2023)","https://arxiv.org/abs/2403.14745, https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta, https://arxiv.org/pdf/2305.01793",JWST,00:13:54.90,-30:20:43.93,,10.37,0.32,1.09,8e7,3.7e7,3.2e7,1e46,0.5e46,0.4e46,,,,,,,40.9,3.9,3.9,,,,,,,3.3e8,"F444W, Mstar, SFR [14.4 (+15.0/-7.3)] from Castellano et al. (2023), SFR [0.56 (+0.23/-0.29)] from Atek et al. (2023)"
